"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/02/2012","Check 118","Check 118","1759.05","debit","Electronics & Software","Hour Monet 7291","",""
"11/01/2012","PayPal","PAYPAL DES:INST XFER ID:4S8226DMSM3DJ INDN:EVAN STRATFORD CO ID:PAYPALSI66...","10.00","debit","Shopping","my account 0020","",""
"10/31/2012","Clipper Service Ca","CHECKCARD 1029 CLIPPER SERVICE 877-878-8883 CA...","20.00","debit","Public Transportation","Hour Monet 7291","",""
"10/31/2012","Clipper Service Ca","CHECKCARD 1029 CLIPPER SERVICE 877-878-8883 CA...","20.00","debit","Public Transportation","Hour Monet 7291","",""
"10/31/2012","ATM Withdrawal","BKOFAMERICA ATM 10/30 #000005069 WITHDRWL MISSION PLAZA SAN FRANCISCO...","60.00","debit","Cash & ATM","Hour Monet 7291","",""
"10/31/2012","PayPal","CISECO PLC DES:IAT PAYPAL ID:5ST226DGN2YL6 INDN:VALKYRIE SAVAGE...","9.46","debit","Shopping","Hour Monet 7291","",""
"10/30/2012","Transfer to Hour Monet 7291","Online Banking transfer to CHK 7291 Confirmation# 1864387220","4916.19","debit","Transfer","my account 0020","",""
"10/30/2012","Foreign Transaction Fee","FOREIGN TRANSACTION FE C_FEES","2.90","debit","Service Fee","Indiana University Alumni Association Inc. MasterCard","",""
"10/30/2012","Passport Office Nps","PASSPORT OFFICE NPS,MP","96.97","debit","Service Fee","Indiana University Alumni Association Inc. MasterCard","",""
"10/30/2012","Transfer from my account 0020","Online Banking transfer from CHK 0020 Confirmation# 1864387220","4916.19","credit","Transfer","Hour Monet 7291","",""
"10/30/2012","Ucb University Hlth","CHECKCARD 1029 UCB UNIVERSITY HLTH SER BERKELEY CA 24391212303286799900235","20.40","debit","Doctor","Hour Monet 7291","",""
"10/29/2012","Metreon Imax","METREON/IMAX 07023252","36.00","debit","Movies & DVDs","BankAmericard Cash Rewards Signature Visa","",""
"10/29/2012","Safeway","SAFEWAY STORE 10/27 #000070012 PURCHASE 1444 SHATTUCK PLA BERKELEY CA","17.39","debit","Groceries","Hour Monet 7291","",""
"10/29/2012","Monterey Marke 1550 Hopkins Street","MONTEREY MARKE 10/27 #000144572 PURCHASE 1550 HOPKINS STRE BERKELEY CA","21.82","debit","Groceries","Hour Monet 7291","",""
"10/29/2012","PayPal","PAYPAL DES:INST XFER ID:5ST226D9NZ6HY INDN:VALKYRIE SAVAGE CO ID:PAYPALSI66...","1381.03","debit","Mortgage & Rent","Hour Monet 7291","",""
"10/29/2012","Monterey Marke 1550 Hopkins Street","MONTEREY MARKE 10/28 #000493433 PURCHASE 1550 HOPKINS STRE BERKELEY CA","64.84","debit","Groceries","Hour Monet 7291","",""
"10/29/2012","Chicago Blackh","CHECKCARD 1026 CHICAGO BLACKH20250130 CHICAGO IL 24164072301531214748361","23.24","debit","Restaurants","Hour Monet 7291","",""
"10/26/2012","Safeway","SAFEWAY STORE 10/26 #000720091 PURCHASE 1444 SHATTUCK PLA BERKELEY CA","11.67","debit","Groceries","Hour Monet 7291","",""
"10/26/2012","Angela Savage Bill","Angela Savage Bill Payment","80.00","debit","Bills & Utilities","Hour Monet 7291","",""
"10/25/2012","Interest Charged Purchases","Interest Charged on Purchases C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Cash Rewards Signature Visa","",""
"10/25/2012","Interest Charged Balance","Interest Charged on Balance Transfers C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Cash Rewards Signature Visa","",""
"10/25/2012","Interest Charged Bank","Interest Charged on Bank Cash Advances C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Cash Rewards Signature Visa","",""
"10/25/2012","Interest Charged Dir","Interest Charged on Dir Dep&Chk CashAdv C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Cash Rewards Signature Visa","",""
"10/25/2012","Motor Mat Car","CHECKCARD 1024 MOTOR MAT CAR WASH JOLIET IL 24692162299000783938252","12.00","debit","Service & Parts","Hour Monet 7291","",""
"10/25/2012","Clipper Service Ca","CHECKCARD 1023 CLIPPER SERVICE 877-878-8883 CA...","20.00","debit","Public Transportation","Hour Monet 7291","",""
"10/24/2012","Wakaba","CHECKCARD 1023 Wakaba SOUTH SAN FRACA 24013392297001300570484","9.35","debit","Restaurants","Hour Monet 7291","",""
"10/23/2012","Transfer from Hour Monet 7291","Online scheduled transfer from CHK 7291 Confirmation# 4899145190","2100.00","credit","Transfer","my account 0020","",""
"10/23/2012","Alaska Air","CHECKCARD 1021 ALASKA AIR 02770981356 SEATTLE WA 24431062296331900015232","808.40","debit","Air Travel","Hour Monet 7291","",""
"10/23/2012","Macy's","MACY'S 28 10/23 #000002636 PURCHASE 3340 MALL LOOP JOLIET IL","39.97","debit","Clothing","Hour Monet 7291","",""
"10/23/2012","Berkeley Econo Gas","CHECKCARD 1021 BERKELEY ECONO GAS BERKELEY CA 24801972296006000632571","4.47","debit","Gas & Fuel","Hour Monet 7291","",""
"10/23/2012","Transfer to my account 0020","Online scheduled transfer to CHK 0020 Confirmation# 4899145190","2100.00","debit","Transfer","Hour Monet 7291","",""
"10/23/2012","Alaska Air","CHECKCARD 1021 ALASKA AIR 02770981356 SEATTLE WA 24431062296331900015240","808.40","debit","Air Travel","Hour Monet 7291","",""
"10/23/2012","Shutterfly","CHECKCARD 1022 SFI*PHOTOSBYSHUTTERFLY 800-986-1065 CA...","11.52","debit","Hobbies","Hour Monet 7291","",""
"10/23/2012","Target","TARGET T0894 10/23 #000002794 PURCHASE TARGET T0894 JOLI Joliet IL","51.63","debit","Shopping","Hour Monet 7291","",""
"10/22/2012","PayPal","PAYPAL DES:INST XFER ID:4S8226CFBCPPL INDN:EVAN STRATFORD CO ID:PAYPALSI66...","79.00","debit","Shopping","my account 0020","",""
"10/22/2012","Orbitz","CHECKCARD 1021 OWW*ORBITZ.COM 888-656-4546 IL...","13.98","debit","Air Travel","Hour Monet 7291","",""
"10/22/2012","Shell","SHELL Service 10/20 #000615500 PURCHASE SHELL OAKLAND CA","4.67","debit","Gas & Fuel","Hour Monet 7291","",""
"10/22/2012","ATM Withdrawal","BKOFAMERICA ATM 10/22 #000008404 WITHDRWL SFO AIRPORT-SOUT SAN...","140.00","debit","Cash & ATM","Hour Monet 7291","",""
"10/22/2012","Check 120","Check 120","675.00","debit","Mortgage & Rent","Hour Monet 7291","",""
"10/22/2012","Berkeley Bowl 2020 Oregon Street","BERKELEY BOWL 10/21 #000476500 PURCHASE 2020 OREGON ST. BERKELEY CA","36.44","debit","Groceries","Hour Monet 7291","",""
"10/22/2012","Check 119","Check 119","700.00","debit","Mortgage & Rent","Hour Monet 7291","",""
"10/22/2012","CVS","CVS 09941 10/20 #000016459 PURCHASE 09941--1451 Shatt Berkeley CA","30.44","debit","Pharmacy","Hour Monet 7291","",""
"10/22/2012","Safeway","SAFEWAY STORE 10/20 #000697039 PURCHASE 1444 SHATTUCK PLA BERKELEY CA","38.75","debit","Groceries","Hour Monet 7291","",""
"10/22/2012","Paradies","CHECKCARD 1014 CAFFE PARADISO BOSTON MA 24224432294105016659945","12.55","debit","Shopping","Hour Monet 7291","",""
"10/19/2012","Piedmont Theatre","PIEDMONT THEATRE OAKLAND CA","23.00","debit","Movies & DVDs","BankAmericard Cash Rewards Signature Visa","",""
"10/19/2012","Amazon","CHECKCARD 1019 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...","19.99","debit","Shopping","Hour Monet 7291","",""
"10/19/2012","Coupa Cafe Gl","CHECKCARD 1018 COUPA CAFE GL STANFORD CA 24493982293207099604639","2.50","debit","Restaurants","Hour Monet 7291","",""
"10/18/2012","Amazon","CHECKCARD 1017 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...","4.95","debit","Shopping","Hour Monet 7291","",""
"10/18/2012","La Bedaine","CHECKCARD 1017 LA BEDAINE BERKELEY CA 24765012292207000000214","12.00","debit","Restaurants","Hour Monet 7291","",""
"10/18/2012","Clipper Service Ca","CHECKCARD 1016 CLIPPER SERVICE 877-878-8883 CA...","20.00","debit","Public Transportation","Hour Monet 7291","",""
"10/18/2012","Clipper Service Ca","CHECKCARD 1016 CLIPPER SERVICE 877-878-8883 CA...","20.00","debit","Public Transportation","Hour Monet 7291","",""
"10/18/2012","Iu Foundation In","CHECKCARD 1015 IU FOUNDATION 800-5588311 IN 24789302291291067540906","10.00","debit","Charity","Hour Monet 7291","",""
"10/17/2012","ATM Withdrawal","BKOFAMERICA ATM 10/17 #000001320 WITHDRWL UNIVERSITY BERKELEY CA","40.00","debit","Cash & ATM","Hour Monet 7291","",""
"10/17/2012","USPS","USPS 050642006 10/17 #000006638 PURCHASE 2515 DURANT AVE BERKELEY CA","67.15","debit","Shipping","Hour Monet 7291","",""
"10/16/2012","Amazon","CHECKCARD 1015 AMAZON MKTPLACE PMTS AMZN.COM/BILLWA...","9.99","debit","Shopping","Hour Monet 7291","",""
"10/16/2012","Monterey Marke 1550 Hopkins Street","MONTEREY MARKE 10/16 #000110160 PURCHASE 1550 HOPKINS STRE BERKELEY CA","53.10","debit","Groceries","Hour Monet 7291","",""
"10/16/2012","Safeway","SAFEWAY STORE 10/15 #000710010 PURCHASE 1444 SHATTUCK PLA BERKELEY CA","29.33","debit","Groceries","Hour Monet 7291","",""
"10/16/2012","99 Ranch Market","99 RANCH MARKE 10/16 #000700290 PURCHASE 3288 PIERCE STREE RICHMOND CA","34.30","debit","Groceries","Hour Monet 7291","",""
"10/16/2012","GoGoAir","CHECKCARD 1016 GOGOAIR.COM 877-350-0038 IL 24692162290000242162006","10.00","debit","Air Travel","Hour Monet 7291","",""
"10/16/2012","Office Depot","OFFICE DEPOT 0 10/16 #000021581 PURCHASE 1011 GILMAN STREE BERKELEY CA","25.31","debit","Office Supplies","Hour Monet 7291","",""
"10/16/2012","NAPA Auto","CHECKCARD 1014 NAPA FARMS MAR00002246 SAN FRANCISCOCA...","28.05","debit","Service & Parts","Hour Monet 7291","",""
"10/15/2012","Zipcar","CHECKCARD 1014 ZIPCAR INC 866-494-7227 MA 24231682289200005222751","99.88","debit","Rental Car & Taxi","Hour Monet 7291","",""
"10/15/2012","Sq Alive Kicking","CHECKCARD 1012 SQ *ALIVE & KICKING LOB Boston MA 24692162286000260438342","64.85","debit","Clothing","Hour Monet 7291","",""
"10/15/2012","Subway","SUBWAY CHARLES 10/14 #000007088 PURCHASE 362 CAMBRIDGE STR BOSTON MA","2.50","debit","Fast Food","Hour Monet 7291","",""
"10/15/2012","Baccos Wine Cheese","CHECKCARD 1012 BACCOS WINE AND CHEESE BOSTON MA 24755422287732872239830","12.15","debit","Alcohol & Bars","Hour Monet 7291","",""
"10/15/2012","Hungry Whale Salem","CHECKCARD 1011 THE HUNGRY WHALE SALEM MA 24088022286286253838402","48.00","debit","Restaurants","Hour Monet 7291","",""
"10/15/2012","West Concord Super","CHECKCARD 1013 WEST CONCORD SUPER WEST CONCORD MA 24224432288104002497632","28.27","debit","Clothing","Hour Monet 7291","",""
"10/15/2012","Zipcar","CHECKCARD 1011 ZIPCAR INC 866-494-7227 MA 24231682286200950890019","91.81","debit","Rental Car & Taxi","Hour Monet 7291","",""
"10/15/2012","Subway","SUBWAY CHARLES 10/14 #000007105 PURCHASE 362 CAMBRIDGE STR BOSTON MA","2.50","debit","Fast Food","Hour Monet 7291","",""
"10/15/2012","PayPal","PAYPAL DES:INST XFER ID:5ST226BSYGU3Q INDN:VALKYRIE SAVAGE CO ID:PAYPALSI66...","986.52","debit","Shopping","Hour Monet 7291","",""
"10/15/2012","Virgin America","CHECKCARD 1014 COSI-VIRGIN AMERIC EAST BOSTON MA 24224432289104016182872","17.10","debit","Air Travel","Hour Monet 7291","",""
"10/12/2012","Russell Orchards Ipswich","CHECKCARD 1011 RUSSELL ORCHARDS IPSWICH MA 24828242285981002158991","16.54","debit","Alcohol & Bars","Hour Monet 7291","",""
"10/12/2012","Pamplemousse Salem Ma","CHECKCARD 1011 PAMPLEMOUSSE SALEM MA 24055232286207000030139","40.90","debit","Alcohol & Bars","Hour Monet 7291","",""
"10/11/2012","Catered Affair","CHECKCARD 1010 THE CATERED AFFAIR BOSTON MA 24224432285102011836264","9.00","debit","Restaurants","Hour Monet 7291","",""
"10/11/2012","Miracle Science Bar","CHECKCARD 1010 MIRACLE OF SCIENCE BAR CAMBRIDGE MA 24055222285207888701076","58.00","debit","Alcohol & Bars","Hour Monet 7291","",""
"10/11/2012","Whole Foods","WHOLE FOODS MA 10/11 #000170108 PURCHASE 181 Cambridge Str Boston MA","28.87","debit","Groceries","Hour Monet 7291","",""
"10/10/2012","Hubway","CHECKCARD 1008 HUBWAY PORTLAND OR 24493982284207511600505","10.00","debit","Public Transportation","Hour Monet 7291","",""
"10/10/2012","Sq Clover Fast","CHECKCARD 1009 SQ *CLOVER FAST FOOD, I Boston MA 24692162283000406421593","10.00","debit","Food & Dining","Hour Monet 7291","",""
"10/10/2012","ATM Withdrawal","BKOFAMERICA ATM 10/10 #000002840 WITHDRWL MBTA-PARK STREET BOSTON MA","40.00","debit","Cash & ATM","Hour Monet 7291","",""
"10/10/2012","Liberty Mutual","CHECKCARD 1008 THE LIBERTY HOTEL BOSTO BOSTON MA 24755422283152838226033","53.00","debit","Financial","Hour Monet 7291","",""
"10/10/2012","Sq Clover Fast","CHECKCARD 1009 SQ *CLOVER FAST FOOD, I Boston MA 24692162283000406420744","10.00","debit","Food & Dining","Hour Monet 7291","",""
"10/10/2012","Meadhall","CHECKCARD 1008 MEADHALL CAMBRIDGE MA 24224432284101041431493","18.00","debit","Alcohol & Bars","Hour Monet 7291","",""
"10/10/2012","Whole Foods","WHOLE FOODS MA 10/10 #000576959 PURCHASE 181 Cambridge Str Boston MA","10.86","debit","Groceries","Hour Monet 7291","",""
"10/09/2012","Subway","SUBWAY AIRPORT 10/06 #000008891 PURCHASE 37 LOGAN AIRPORT EAST BOSTON MA","18.00","debit","Fast Food","Hour Monet 7291","",""
"10/09/2012","Whole Foods","WHOLE FOODS MA 10/06 #000964149 PURCHASE 181 Cambridge Str Boston MA","66.55","debit","Groceries","Hour Monet 7291","",""
"10/09/2012","Life Alive Cambridge","CHECKCARD 1006 LIFE ALIVE CAMBRIDGE CAMBRIDGE MA 24733092281207599600113","19.15","debit","Restaurants","Hour Monet 7291","",""
"10/09/2012","GoGoAir","CHECKCARD 1007 GOGOAIR.COM 877-350-0038 IL 24692162281000683505136","8.05","debit","Air Travel","Hour Monet 7291","",""
"10/09/2012","Ryles","CHECKCARD 1007 Ryles CAMBRIDGE MA 24013392282000422950399","18.00","debit","Restaurants","Hour Monet 7291","",""
"10/09/2012","iTunes","CHECKCARD 1006 APL*APPLE ITUNES STORE 866-712-7753 CA...","4.99","debit","Music","Hour Monet 7291","",""
"10/09/2012","Check 131","Check 131","140.16","debit","Doctor","Hour Monet 7291","",""
"10/09/2012","Zipcar","CHECKCARD 1004 ZIPCAR INC 866-494-7227 MA 24231682279200943597142","4.00","debit","Rental Car & Taxi","Hour Monet 7291","",""
"10/09/2012","NAPA Auto","CHECKCARD 1006 NAPA FARMS MAR00002246 SAN FRANCISCOCA...","19.57","debit","Service & Parts","Hour Monet 7291","",""
"10/09/2012","L A Burdick","CHECKCARD 1006 L A BURDICK CHOCOLATE CAMBRIDGE MA 24071052281158192936806","10.70","debit","Restaurants","Hour Monet 7291","",""
"10/09/2012","Depasquale Homemade Pas","CHECKCARD 1006 DEPASQUALE HOMEMADE PAS BOSTON MA 24055222281207506600514","5.95","debit","Groceries","Hour Monet 7291","",""
"10/09/2012","Zipcar","CHECKCARD 1005 ZIPCAR INC 866-494-7227 MA 24231682280200891713136","48.12","debit","Rental Car & Taxi","Hour Monet 7291","",""
"10/09/2012","RadioShack","RADIO SHACK 10/08 #000269239 PURCHASE 100 CAMBRIDGESIDE CAMBRIDGE MA","6.36","debit","Electronics & Software","Hour Monet 7291","",""
"10/09/2012","Foto Shop","CHECKCARD 1005 FOTO SHOP BERKELEY CA 24493982280286100400067","10.91","debit","Service Fee","Hour Monet 7291","",""
"10/09/2012","Ryles","CHECKCARD 1007 Ryles CAMBRIDGE MA 24013392282000422949763","18.00","debit","Restaurants","Hour Monet 7291","",""
"10/09/2012","Subway","SUBWAY AIRPORT 10/06 #000008845 PURCHASE 37 LOGAN AIRPORT EAST BOSTON MA","18.00","debit","Fast Food","Hour Monet 7291","",""
"10/09/2012","Sears","NST SEARS ROEB 10/08 #000002457 PURCHASE 100 CAMBRIDGESIDE CAMBRIDGE MA","20.40","debit","Shopping","Hour Monet 7291","",""
"10/09/2012","Check 121","Check 121","48.64","debit","Groceries","Hour Monet 7291","",""
"10/09/2012","Cambridge Brewing","CHECKCARD 1007 CAMBRIDGE BREWING CO CAMBRIDGE MA 24492802282118000192552","14.50","debit","Alcohol & Bars","Hour Monet 7291","",""
"10/09/2012","H&M","CNS H & M 10/08 #000120472 PURCHASE 100 CAMBRIDGESIDE CAMBRIDGE MA","59.90","debit","Clothing","Hour Monet 7291","",""
"10/09/2012","Bayporter Express Ca","CHECKCARD 1004 BAYPORTER EXPRESS 415-4671800 CA 24639232279900018100050","49.00","debit","Rental Car & Taxi","Hour Monet 7291","",""
"10/04/2012","Clipper Service Ca","CHECKCARD 1002 CLIPPER SERVICE 877-878-8883 CA...","20.00","debit","Public Transportation","Hour Monet 7291","",""
"10/04/2012","Uc Berkeley Des","UC Berkeley DES:DIRECT PAY ID:ST23256150 INDN:0000SAVAGE,VALKYRIE AR CO...","2500.00","credit","Paycheck","Hour Monet 7291","",""
"10/04/2012","Safeway","SAFEWAY STORE 10/04 #000047035 PURCHASE 1444 SHATTUCK PLA BERKELEY CA","65.04","debit","Groceries","Hour Monet 7291","",""
"10/04/2012","Angela Savage Bill","Angela Savage Bill Payment","150.00","debit","Bills & Utilities","Hour Monet 7291","",""
"10/04/2012","Clipper Service Ca","CHECKCARD 1002 CLIPPER SERVICE 877-878-8883 CA...","20.00","debit","Public Transportation","Hour Monet 7291","",""
"10/03/2012","Walgreens","WALGREENS 10/03 #000571040 PURCHASE 2190 SHATTUCK AVE BERKELEY CA","11.95","debit","Pharmacy","Hour Monet 7291","",""
"10/03/2012","Ucb Rec Sports","CHECKCARD 1002 UCB REC SPORTS - SCRA BERKELEY CA 24391212277200753601004","140.00","debit","Gym","Hour Monet 7291","",""
"10/02/2012","Caf Patachou","CHECKCARD 0930 CAF PATACHOU 20268918 INDIANAPOLIS IN...","27.00","debit","Restaurants","Hour Monet 7291","",""
"10/02/2012","Dara Cuisine","CHECKCARD 0930 DARA CUISINE BERKELEY CA 24789302275275709689106","30.50","debit","Restaurants","Hour Monet 7291","",""
"10/01/2012","Fuddruckers","CHECKCARD 0929 FUDDRUCKERS DULLES VA 24210732274206288000082","17.81","debit","Restaurants","Hour Monet 7291","",""
"10/01/2012","Toyo Japanese Restauran","CHECKCARD 0930 TOYO JAPANESE RESTAURAN BERKELEY CA 24755422275132751357668","49.00","debit","Restaurants","Hour Monet 7291","",""
"10/01/2012","Pho Bar","CHECKCARD 0927 THE PHO BAR BERKELEY CA 24765012272200288400085","10.79","debit","Alcohol & Bars","Hour Monet 7291","",""
"10/01/2012","Clipper Service Ca","CHECKCARD 0927 CLIPPER SERVICE 877-878-8883 CA...","20.00","debit","Public Transportation","Hour Monet 7291","",""
"10/01/2012","Scottys Burger Joint","CHECKCARD 0929 SCOTTYS BURGER JOINT COLUMBUS IN 24072802274286699801326","42.00","debit","Fast Food","Hour Monet 7291","",""
"10/01/2012","Wal-Mart","WAL Wal-Mart S 09/29 #000867200 PURCHASE 3435 WAL-SAMS GREENWOOD IN","40.29","debit","Shopping","Hour Monet 7291","",""
"10/01/2012","Berkeley Bowl 2020 Oregon Street","BERKELEY BOWL 10/01 #000829800 PURCHASE 2020 OREGON ST. BERKELEY CA","37.85","debit","Groceries","Hour Monet 7291","",""
"10/01/2012","Yalis Cafe","CHECKCARD 0927 YALIS CAFE BERKELEY CA 24692162272000019545237","3.75","debit","Restaurants","Hour Monet 7291","",""
"10/01/2012","Light Source Cnp","CHECKCARD 0928 LIGHT SOURCE CNP 415-621-1448 CA...","14.95","debit","Gift","Hour Monet 7291","",""
"9/29/2012","Paid Storage","GOOGLE *PAID STORAGE GOOGLE.COM/CHCA","5.00","debit","Cooking Classes","BankAmericard Cash Rewards Signature Visa","",""
"9/28/2012","Facebook Des Direct","FACEBOOK INC DES:DIRECT DEP ID:612023773792KYC INDN:STRATFORD,EVAN...","2895.19","credit","Paycheck","my account 0020","",""
"9/28/2012","Light Source Ca","CHECKCARD 0926 LIGHT SOURCE 415-621-1448 CA 24692162271000787747875","332.01","debit","Gift","Hour Monet 7291","",""
"9/28/2012","Bkofamerica ATM Deposit","BKOFAMERICA ATM 09/28 #000008379 DEPOSIT 4TH & KING - CAL SAN FRANCISCO CA","1642.85","credit","Income","Hour Monet 7291","",""
"9/28/2012","Onsite Haircuts Llc","CHECKCARD 0927 ONSITE HAIRCUTS LLC SANTA CLARA CA 24755422271172716981370","24.00","debit","Hair","Hour Monet 7291","",""
"9/28/2012","ATM Withdrawal","BKOFAMERICA ATM 09/28 #000008380 WITHDRWL 4TH & KING - CAL SAN...","40.00","debit","Cash & ATM","Hour Monet 7291","",""
"9/27/2012","Transfer from my account 0020","ONLINE PAYMENT FROM CHK 0","252.74","credit","Credit Card Payment","BankAmericard Cash Rewards Signature Visa","",""
"9/27/2012","Transfer to Hour Monet 7291","Online Banking transfer to CHK 7291 Confirmation# 0673050923","10419.48","debit","Transfer","my account 0020","",""
"9/27/2012","Transfer to BankAmericard Cash Rewards Signature Visa","Online Banking payment to CRD 0264 Confirmation# 2573048951","252.74","debit","Credit Card Payment","my account 0020","",""
"9/27/2012","Ucb E Des","UCB E-PAYMENT DES:5106423190 ID:245839514 INDN:VALKYRIE SAVAGE CO...","70.50","debit","Credit Card Payment","Hour Monet 7291","",""
"9/27/2012","PayPal","PAYPAL DES:ECHECK ID:5ST226A6JP3YU INDN:VALKYRIE SAVAGE CO ID:PAYPALEC77...","1350.00","debit","Shopping","Hour Monet 7291","",""
